source_file,module_key,module_name_zh,module_name_en,question_id,question_index,question_text_zh,question_text_en
change.json,change,6. 变更与配置管理（ECN/BOM/版本）,6. Change & Configuration Management (ECN/BOM/Versions),change-需求-设计变更是否执行-ecr-ecn-流程并进行成本-进度-质量影响评估,1,需求/设计变更是否执行 ECR→ECN 流程并进行成本/进度/质量影响评估？,"Do requirements/design changes follow the ECR→ECN process with cost, schedule, and quality impact assessments?"
change.json,change,6. 变更与配置管理（ECN/BOM/版本）,6. Change & Configuration Management (ECN/BOM/Versions),change-bom-图纸-固件是否在-plm-alm-中实现单一数据源与权限控制,2,BOM/图纸/固件是否在 PLM/ALM 中实现单一数据源与权限控制？,"Do BOMs, drawings, and firmware use a single source of truth with access control in PLM/ALM?"
change.json,change,6. 变更与配置管理（ECN/BOM/版本）,6. Change & Configuration Management (ECN/BOM/Versions),change-样机-批次与版本是否可双向追溯-where-used-as-built,3,样机/批次与版本是否可双向追溯（Where Used/As-built）？,Can prototypes/batches trace versions bi-directionally (Where Used/As-built)?
change.json,change,6. 变更与配置管理（ECN/BOM/版本）,6. Change & Configuration Management (ECN/BOM/Versions),change-对客户-生产-供应商的-pcn-scn-通知机制是否明确且可审计,4,对客户/生产/供应商的 PCN/SCN 通知机制是否明确且可审计？,"Is the PCN/SCN notification process to customers, manufacturing, and suppliers defined and auditable?"
design.json,design,3. 设计质量与可靠性（含前期物料选型与准入）,3. Design Quality & Reliability (Early Component Selection & Qualification),design-3-1-静电-浪涌与系统级保护-esd-surge,1,是否在设计阶段明确各接口/关键器件的系统级 ESD/Surge 目标并完成方案验证（含带电插拔/瞬变），且设计变更会触发复核？,"Do we define system-level ESD/Surge targets per interface or critical component, validate the solution (including hot-plug/transients), and trigger revalidation whenever the design changes?"
design.json,design,3. 设计质量与可靠性（含前期物料选型与准入）,3. Design Quality & Reliability (Early Component Selection & Qualification),design-3-2-电源完整性与-wcca-worst-case,2,关键电源回路是否完成 WCCA/环路稳定性评估（含 Bode/相位裕量/增益裕量/容差叠加），并形成可追溯记录？,"Have critical power loops completed WCCA/loop stability analysis (Bode, phase/gain margins, tolerance stacks) with traceable records?"
design.json,design,3. 设计质量与可靠性（含前期物料选型与准入）,3. Design Quality & Reliability (Early Component Selection & Qualification),design-3-3-pdn-si-pi-联合仿真,3,是否建立 PDN 目标阻抗并完成 SI/PI 联合仿真与板测相关性校核，对高速/大电流轨有明确去耦与布局约束？,"Have we defined PDN target impedance, completed SI/PI co-simulation with board correlation, and set explicit decoupling/layout constraints for high-speed and high-current rails?"
design.json,design,3. 设计质量与可靠性（含前期物料选型与准入）,3. Design Quality & Reliability (Early Component Selection & Qualification),design-3-4-结构应力-冲击-密封-fea-ip,4,是否完成结构 FEA 与关键工况（跌落/扭转/挤压/密封压缩量等）验证，并与型式试验（如 IP 等级）一致？,Have we completed structural FEA and key-condition validation (drop/twist/compression/seal squeeze) and aligned with type tests such as IP ratings?
design.json,design,3. 设计质量与可靠性（含前期物料选型与准入）,3. Design Quality & Reliability (Early Component Selection & Qualification),design-3-5-热设计与电-热协同-cfd,5,是否进行稳态与瞬态热仿真并与实测对比，明确节流/降额策略与结温/触感控制目标？,"Do we run steady-state and transient thermal simulations, compare against measurements, and define throttling/derating strategies plus junction/touch temperature targets?"
design.json,design,3. 设计质量与可靠性（含前期物料选型与准入）,3. Design Quality & Reliability (Early Component Selection & Qualification),design-3-6-射频-天线仿真与-ota-预算,6,是否建立射频/天线性能/TRP/TIS 预算并完成 EM 仿真与 OTA 实测相关性校核，且结构变更具备复核机制？,"Have we built RF/antenna performance and TRP/TIS budgets, correlated EM simulations with OTA measurements, and established rechecks for structural changes?"
design.json,design,3. 设计质量与可靠性（含前期物料选型与准入）,3. Design Quality & Reliability (Early Component Selection & Qualification),design-3-7-条件触发的必要仿真-按-dfmea-高风险触发,7,是否基于 DFMEA/风险评估定义条件触发的专项验证（如耐腐蚀/化学品/高低温循环等），并将其纳入设计 Entry/Exit？,"Have we defined DFMEA/risk-triggered special verifications (corrosion, chemicals, thermal cycling, etc.) and wired them into design Entry/Exit gates?"
org.json,org,1. 研发组织与资源,1. R&D Organization & Resources,org-1-组织边界与职责清晰度-r-r-跨团队接口-是否有正式组织架构-跨团队接口定义与升级路径,1,#1 组织边界与职责清晰度（R&R、跨团队接口） 是否有正式组织架构、跨团队接口定义与升级路径？,"#1 Organizational boundaries & role clarity (R&R, cross-team interfaces): Do we maintain a formal org structure, defined interfaces, and escalation paths?"
org.json,org,1. 研发组织与资源,1. R&D Organization & Resources,org-2-关键岗位胜任力矩阵-rf-camera-emc-热-可靠性-关键岗位是否具备胜任力矩阵与资格认证,2,#2 关键岗位胜任力矩阵（RF/Camera/EMC/热/可靠性） 关键岗位是否具备胜任力矩阵与资格认证？,#2 Critical-role competency matrix (RF/Camera/EMC/Thermal/Reliability): Do critical roles maintain competency matrices and certifications?
org.json,org,1. 研发组织与资源,1. R&D Organization & Resources,org-4-领域覆盖与-dri-清单-子系统命名-dri-权限-是否维护子系统-dri-清单及权限边界,3,#4 领域覆盖与 DRI 清单（子系统命名 DRI、权限） 是否维护子系统 DRI 清单及权限边界？,"#4 Domain coverage & DRI roster (subsystem owners, authority): Is the subsystem DRI list maintained with clear authority boundaries?"
org.json,org,1. 研发组织与资源,1. R&D Organization & Resources,org-5-技术治理与决策边界-drb-ccb-stop-build-建议权-技术治理机制是否有效运行,4,#5 技术治理与决策边界（DRB/CCB、Stop-Build 建议权） 技术治理机制是否有效运行？,"#5 Technical governance & decision boundaries (DRB/CCB, stop-build authority): Does the technical governance mechanism operate effectively?"
perf.json,perf,8. 研发绩效与持续改进,8. R&D Performance & Continuous Improvement,perf-是否设定并跟踪研发-kpi-一期通过率-缺陷密度-按期率-返工率-rma-ppm,1,是否设定并跟踪研发 KPI（一期通过率/缺陷密度/按期率/返工率/RMA/ppm）？,"Do we define and track R&D KPIs (first-pass yield, defect density, on-time rate, rework rate, RMA, ppm)?"
perf.json,perf,8. 研发绩效与持续改进,8. R&D Performance & Continuous Improvement,perf-是否开展项目复盘-ll-lessons-learned-并沉淀为设计与工艺标准,2,是否开展项目复盘/LL（Lessons Learned）并沉淀为设计与工艺标准？,Do we run project retrospectives/Lessons Learned and feed them into design and process standards?
process.json,process,2. 研发流程与标准（NPI/IPD）,2. R&D Processes & Standards (NPI/IPD),process-是否有端到端-npi-流程-需求-架构-设计-验证-移交-并落实职责分工,1,是否有端到端 NPI 流程（需求→架构→设计→验证→移交），并落实职责分工？,Do we run an end-to-end NPI process (requirements → architecture → design → verification → handover) with clear role ownership?
process.json,process,2. 研发流程与标准（NPI/IPD）,2. R&D Processes & Standards (NPI/IPD),process-是否建立研发设计规范库-pcb-esd-射频-结构等-并保持版本可追溯,2,是否建立研发设计规范库（PCB、ESD、射频、结构等）并保持版本可追溯？,"Do we maintain a controlled design standards library (PCB, ESD, RF, mechanical, etc.) with version traceability?"
process.json,process,2. 研发流程与标准（NPI/IPD）,2. R&D Processes & Standards (NPI/IPD),process-对外部输入-客户-法规-pcn-是否建立变更感知与落地机制,3,对外部输入（客户/法规/PCN）是否建立变更感知与落地机制？,"Do we maintain a mechanism to sense and implement external inputs (customer, regulatory, PCN)?"
risk.json,risk,7. 风险管控（技术/进度/合规）,7. Risk Management (Technical/Schedule/Compliance),risk-是否建立项目风险台账-技术-供应-合规-资源-并对风险进行-impact-probability-量化,1,是否建立项目风险台账（技术/供应/合规/资源），并对风险进行 Impact×Probability 量化？,Do we maintain a project risk register (technical/supply/compliance/resources) with Impact × Probability quantification?
risk.json,risk,7. 风险管控（技术/进度/合规）,7. Risk Management (Technical/Schedule/Compliance),risk-是否为关键风险建立-plan-b-c-替代方案-降级策略-二供切换-并有演练记录,2,是否为关键风险建立 Plan B/C（替代方案/降级策略/二供切换）并有演练记录？,Do critical risks have Plan B/C (alternatives/derating/second-source switch) with drill records?
scm.json,scm,5. 研发与供应链协同（DFM/DFA/早期导入）,5. R&D and Supply Chain Collaboration (DFM/DFA/Early Involvement),scm-是否进行跨部门-dfm-dfa-评审-rd-me-pe-qa-scm-并确保结论整改闭环,1,是否进行跨部门 DFM/DFA 评审（RD/ME/PE/QA/SCM），并确保结论整改闭环？,Do we run cross-functional DFM/DFA reviews (RD/ME/PE/QA/SCM) and close out the resulting actions?
